Abko.	Eso es!
Ni krógoi migatda kitde, agu migatda medende mie?	Cuando vienen los enfermeros, ¿dónde ponen las inyecciones?
Ni junungróbitdi.	En las nalgas.
Bori kwin, kiatdre, mungwe jatötdigani krubotde, kó nibi nuóre tibotdó yebotdó, Ja toaida jetdebe.	Muy bien, niños, estudiaron mucho, estoy contenta por eso, Nos vemos mañana.
Abko.	Eso es!
Abta.	Por eso.
¿Abti?	¿Que paso después?
Abu.	desobedencia.
Acho.	grosería!
Aibe.	Sólo.
Aisete.	Por Qué.
Aiteje.	Susto.
Aja.	Molestar.
Äkani.	Por esa causa.
¡Ake!	¡No molestes!
Akisete.	Por razon de que.
Aku.	Aguja.
Akwre.	Venga.
Alan.	Cresta de gallo.
¿Amare?	¿dónde está?
